ref:mise,fuel:diesel,fuel:octane_101,fuel:octane_100,fuel:octane_98,fuel:octane_95,fuel:cng,fuel:lpg,operator,brand,lat,lon
34567,yes,,,,yes,,,Scari S.R.L.,,46.19077,11.04132
22172,yes,,,,yes,,,Stazione Carburanti Pvb S.R.L.,bpetrol,45.99552,10.97642
26213,yes,,,,yes,,,Gottardi Romano e F.Lli S.N.C.,,46.17661,11.2237
23892,yes,,,,yes,,,Fronza Andrea e C. S.N.C.,Agip Eni,46.08801,11.18423
7579,yes,,,,yes,,,Punto Grill Services S.R.L.,,46.36976,11.03371
7728,yes,,yes,,yes,,,Parisi Giovanni,Agip Eni,46.35303,11.04435
31720,yes,,,,yes,,,Ip Services S.R.L.,Api-Ip,46.03639,10.86422
4092,yes,,yes,,yes,,,Bagozzi Gianluigi e Poli Fabiano S.N.C.,Agip Eni,46.03723,10.87597
23670,,,,,,,,Ravelli Silvano,Agip Eni,46.32131,10.84129
47466,yes,,,,yes,,,En.Ko S.A.S.di Kovacevic Enes & C.,Repsol,46.32254,10.84786
23690,,,,,,,,Zappini Piera,Repsol,46.32247,10.84782
23610,,,,,,,,Leotti Paolo,Agip Eni,45.86898,10.58327
37212,,,,,,,,Pancheri Maria Luisa,Repsol,46.34733,11.07982
28363,yes,,,,yes,,,Albakos di Tasholli Shpend,Tamoil,46.34184,10.90323
28132,yes,,,,yes,,,Energy di Iob Franca,San Marco Petroli,46.28569,11.0383
4406,yes,,,,yes,,,Gruppo Nord Petroli S.R.L.,GNP,46.29997,11.45174
43204,yes,,yes,,yes,,,Pellizzari Rinaldo,Agip Eni,45.94733,10.61823
8571,,,,,,,,Pellizzari Rinaldo,Agip Eni,45.94731,10.61809
4130,yes,,yes,,yes,,yes,Covi Nicola,Q8,46.26581,11.06073
23508,,,,,,,,Beatrici Diego,Agip Eni,45.9826,10.92528
44805,yes,,yes,,yes,,,Mohamed Luca,Agip Eni,45.98262,10.92526
41786,,,,,,,,Fres di Ricci Sergio & C. S.A.S.,Agip Eni,45.98262,10.92528
29214,yes,,,,yes,,,Maino Loris di Sommadossi Daniela,Api-Ip,46.02509,10.94491
19084,yes,,yes,,yes,,,Mottes Renzo & C. S.N.C.,Tamoil,46.18642,11.07438
17705,yes,,,,yes,,,Tecnobenz di Valle Giovanni e Guido S.N.C.,,45.91456,11.16691
23500,yes,,,,yes,,,Zucol Pietro,Esso,46.43677,11.1399
32860,yes,,,,yes,,,Frizzi Adolfo,Tamoil,46.15431,10.7663
7483,yes,,yes,,yes,,,Fambri Camillo S.P.A.,Tamoil,45.97252,11.68287
8987,,,,,,,,Masi S.A.S.di Micheli Giovanna e C.,Q8,46.14539,11.78558
47091,yes,,,,yes,,,Rosina S.R.L.,rosina fuel,45.88348,11.01142
19278,yes,,,,yes,,,Trentini Roberto & C. S.N.C.,,46.02512,10.98124
14887,yes,,,,yes,,,Md Service S.R.L.,Ies,45.94104,11.26764
24029,,,,,,,,Stenghele F.Lli S.N.C.di Stenghele Francesco Gino e C.,Esso,45.93941,11.25414
14990,yes,,,,yes,,,Lumi S.R.L.,Esso,46.14637,11.09928
5364,yes,,,,yes,,,Moser Carmela & Agnese S.N.C.,Api-Ip,46.1677,11.11465
44940,yes,,yes,,yes,,,Lucchi Service di Lucchi Maurizio,Agip Eni,46.13886,11.10213
3591,yes,,yes,,yes,,yes,Wecar S.A.S. di Webber Gervasio & C.,Agip Eni,46.14059,11.08579
14051,yes,,,,yes,,,Sartori Giuseppe & C. S.N.C.,,46.14091,11.10762
27626,yes,,,,yes,,,Calovi Fulvio,Q8,46.15526,11.10331
36491,yes,,,,yes,,,Gruppo Nord Petroli S.R.L.,GNP,45.89258,10.68537
15325,yes,,,,yes,,,Officina Mazzola di Mazzola Giancarlo e Giampaolo S.N.C.,Api-Ip,45.87205,10.7708
20723,yes,,,,yes,,,Pellegrini Paolo,Api-Ip,45.8899,10.72867
25673,yes,,,,yes,,,Loro F.Lli-s.P.A.,Loro,46.00424,11.28951
8052,yes,,yes,,yes,,yes,Stazione Agip di Stefani Federico e C. S.N.C.,Agip Eni,46.0029,11.29545
27596,yes,,,,yes,,,Alessandri Antonio,Tamoil,46.4042,11.01852
9741,yes,,,,yes,,yes,Casagranda Bruno e C. S.N.C.,Esso,46.15038,11.22252
8314,yes,,yes,,yes,,,G.S. Ristoauto S.A.S.di Iori Gianni & C. in sigla G.S. Ristoauto S.A.S.,Agip Eni,46.3584,10.91941
22008,yes,,,,yes,,,Zugliani Eugenio & C. S.A.S.,,46.15675,11.81542
23885,yes,,yes,,yes,,,Meneguot Giorgio,Agip Eni,46.21236,11.12316
21404,yes,,,,yes,,,Distributore Da Greg di Lamusta Gregorio,Q8,46.20704,11.12763
40670,yes,,yes,,yes,,,Distributore Eni S.N.C. di Gjeka Alban e C.,Agip Eni,46.20979,11.0941
26165,yes,,,,yes,,,Dalla Torre Lucia,Esso,46.21539,11.08884
11846,,,,,,,,Servizi & Gestioni Italia S.R.L.,Q8,46.21634,11.08777
26335,,,,,,,,Modolo Impianti S.R.L.,Retitalia,46.19624,11.10124
23794,,,,,,,,Bez Ezio,Esso,46.3686,11.65208
20721,yes,,yes,,yes,,yes,Valentinelli Lorenzo,Agip Eni,46.33766,10.89552
33745,yes,,,,yes,,,Muharremi Ledjo,Q8,45.8512,10.97796
15626,,,,,,,,Galassi Marco,Q8,45.85167,10.97219
7078,yes,,,,yes,,,Officina Vicenzi S.N.C. di Vicenzi Danilo e Maurizio,Q8,45.87598,10.93269
23431,,,,,,,,Menegatti Maurizio,Agip Eni,45.87798,10.89571
7887,yes,,yes,,yes,,,Dusatti S.A.S. di Dusatti Laura e Dusatti Edoardo & C.,Agip Eni,45.87857,10.88957
11848,yes,,yes,,yes,,,Servizi & Gestioni Italia S.R.L.,Q8,45.87127,10.87552
23668,yes,,,,yes,,,Galvagni Gianni,,45.9139,11.02115
40585,yes,,yes,,yes,yes,,Nuova Sidap S.R.L.,Q8,45.90255,11.02764
