{,id,lat,lon,tags{,operator,brand,source:date,},}
,9373,37.390393895042074,13.532240688800812,,Alonge Luigi & C. S.A.S. Di Alonge Gerlando,Q8,2018-04-12,,
,13200,37.26516393901318,13.970295662587773,,F.Lli La Marca S.A.S. Di La Marca Girolamo E Calogero & C.,Agip Eni,2018-04-12,,
,32155,37.2638549339943,13.958510106237782,,Euroil S.R.L.S.,Pompe Bianche,2018-04-12,,
,16232,37.26478227822157,13.970917314291,,La Marca Salvatore & C. S.N.C.,Pompe Bianche,2018-04-12,,
,33436,37.33127879006203,13.430987298488617,,Daina Palermo Giovanni,Agip Eni,2018-04-12,,
,33762,37.31230557940277,13.466674089431763,,Servizi E Gestioni Zenit S.R.L. In Sigla - Zenit S.R.L.,Giap,2018-04-12,,
,26796,37.49448824321571,13.263874691548153,,F.Lli Turano S.A.S. Di Turano Gioacchino  & C.,Agip Eni,2018-04-12,,
,21179,37.50187926154549,13.263141363229352,,Cocchiara Alessandra & C. S.A.S.,Esso,2018-04-12,,
,22548,37.49379391005386,13.264821767807007,,Marabella S.A.S Di Marabella Angelo & C.,Q8,2018-04-12,,
,21565,37.50502973178759,13.273820579051971,,Marabella S.A.S Di Marabella Angelo & C.,Q8,2018-04-12,,
,26904,37.49843620746494,13.26864939140171,,Ribera 96  S.A.S. Di  Miceli  Anna  &  C.,Agip Eni,2018-04-12,,
,20966,37.498122373265836,13.258715718984604,,Lo Raso Stefania,Esso,2018-04-12,,
,9474,37.64462709209819,13.107199397727413,,Maggio Antonio,Esso,2018-04-12,,
,9989,37.644746140504374,13.107552713588575,,Gandolfo Michele,Agip Eni,2018-04-12,,
,24719,37.51037738779058,13.52652703498768,,Capodicasa Salvatore,Pompe Bianche,2018-04-12,,
,12558,37.62758340445863,13.639979660511017,,Panepinto Salvatore,Esso,2018-04-12,,
,27728,37.690156816321014,13.022739663720131,,Marino Calogera,Agip Eni,2018-04-12,,
,35501,37.626758322443166,13.488965258002281,,Servizi E Gestioni Zenit S.R.L. In Sigla - Zenit S.R.L.,Giap,2018-04-12,,
,9049,37.632506515250405,13.475302755832672,,M.G. Di Giambartino Filippo E C.-S.N.C.,Api-Ip,2018-04-12,,
,38277,37.62606260375029,13.494070172309875,,Vevin  Societa' A   Responsabilita' Limitata,Q8,2018-04-12,,
,20045,37.50804259290687,13.052275609786989,,Servizi E Gestioni Zenit S.R.L. In Sigla - Zenit S.R.L.,Agip Eni,2018-04-12,,
,34517,37.51038303142166,13.066919428909614,,Curreri Giuseppe,Curreri Carburanti,2018-04-12,,
,15841,37.523613079050236,13.073818981647491,,Di. Ga.  Di Di Paola Mario & C. S.N.C.,Q8,2018-04-12,,
,18418,37.50628533374089,13.090032935142517,,Petroli Sciacca Di Maggio Accursio & C. S.A.S.,Agip Eni,2018-04-12,,
,8844,37.55335739247375,13.04344967007637,,Cusumano Carburanti S.A.S. Di Stefano Cusumano & C.,Agip Eni,2018-04-12,,
,13459,37.51571268825997,13.077494420237713,,Cusumano Carburanti S.A.S. Di Stefano Cusumano & C.,Agip Eni,2018-04-12,,
,13471,37.50797613578515,13.073874120237747,,Cusumano Carburanti S.A.S. Di Stefano Cusumano & C.,Agip Eni,2018-04-12,,
,16376,37.517402904853064,13.076751441549277,,Tripodi Francesco,Esso,2018-04-12,,
,20789,37.50885690061684,13.077633082866669,,Lo Raso Antonino,Esso,2018-04-12,,
,12200,37.520085988102885,13.077281713485718,,Sciacca Oil Di La Porta Maria,Taoil,2018-04-12,,
,36419,37.33632244064204,13.425704017281532,,F.Lli Pirrera Di Pirrera Salvatore E Pirrera Angelo-S.N.C.,Pompe Bianche,2018-04-12,,
,29421,44.67313733632,8.477373719215393,,T.D.M. S.R.L.,Tamoil,2018-04-12,,
,30244,44.673086077785584,8.46631489981462,,Ip Services S.R.L.,Api-Ip,2018-04-12,,
,6407,44.67636581251457,8.45972986389313,,Servizi & Gestioni Italia Srl,Q8,2018-04-12,,
,39340,44.679201397329486,8.451370373368263,,Bertora Cinzia,Retitalia,2018-04-12,,
,10022,44.668958664387105,8.458921033065735,,Collino E C.- S.P.A.,Pompe Bianche,2018-04-12,,
,39625,44.66493837878722,8.472867784975051,,L'Oasi  S.A.S. Di Barone Salvatore & C.,Agip Eni,2018-04-12,,
,32191,44.66344990429665,8.468254694442749,,Fratelli Olivieri Bruno E Riccardo S.N.C.,Api-Ip,2018-04-12,,
,39621,44.669015740619884,8.481220282803406,,Barone Salvatore,Agip Eni,2018-04-12,,
,39620,44.669015740619884,8.481220282803406,,Barone Salvatore,Pompe Bianche,2018-04-12,,
,38859,44.676327179421605,8.463223055005074,,Berry Service Di Ponzano Maurizio,Oil Italia,2018-04-12,,
,25112,44.6757983508484,8.446408210528602,,Beccaria S.R.L. - Societa' A Responsabilita' Limitata,Q8,2018-04-12,,
,34628,44.680216956392506,8.472892784274677,,Severino Massimo,Agip Eni,2018-04-12,,
,34629,44.676568437103086,8.464701593254063,,Severino Massimo,Agip Eni,2018-04-12,,
,30525,44.89691515920304,8.587306067347527,,T.D.M. S.R.L.,Tamoil,2018-04-12,,
,34364,44.90697132352871,8.61145868897438,,T.D.M. S.R.L.,Tamoil,2018-04-12,,
,5512,44.91993339554133,8.595036822090151,,Gestioni Europa S.P.A.,Total Erg,2018-04-12,,
,7292,44.90220486835905,8.63087385892868,,Servizi & Gestioni Italia S.R.L.,Q8,2018-04-12,,
,30831,44.8938111309523,8.672091364860535,,Servizi & Gestioni Italia S.R.L.,Q8,2018-04-12,,
,38868,44.88638436498143,8.615406397730112,,Ip Services S.R.L.,Api-Ip,2018-04-12,,
,20730,44.89126320360915,8.589333146810532,,Gestioni Europa - Societa' Per Azioni,Total Erg,2018-04-12,,
,6405,44.88842783915975,8.598518371582031,,Servizi & Gestioni Italia Srl,Q8,2018-04-12,,
,34564,44.91975808599873,8.613127919643375,,Servizi & Gestioni Italia S.R.L.,Q8,2018-04-12,,
,4636,44.91930014982347,8.596579134464264,,Nuova Sidap  S.R.L.,Esso,2018-04-12,,
,11454,44.92146011668297,8.579308046627034,,Servizi & Gestioni Italia S.R.L.,Q8,2018-04-12,,
,29187,44.9124803234052,8.608011281496374,,Aci-Servizi Alessandria S.R.L.,Api-Ip,2018-04-12,,
,40733,44.92150754281884,8.550652250669373,,New Truck S.R.L.,Pompe Bianche,2018-04-12,,
,30279,44.891438629148006,8.60164687486872,,Bragas S.R.L.,Pompe Bianche,2018-04-12,,
,30280,44.91903121146978,8.59728455543518,,Bragas S.R.L.,Pompe Bianche,2018-04-12,,
,10523,44.91901984458985,8.597237294381785,,Centro Calor S.R.L.,Pompe Bianche,2018-04-12,,
,10522,44.89143712276319,8.601680391571108,,Centro Calor S.R.L.,Pompe Bianche,2018-04-12,,
,38764,44.9032710353854,8.606327571762904,,Gargantini Gianmario Vittorio,Esso,2018-04-12,,
,37821,44.92227301441103,8.615042661372627,,Alegas Srl,Pompe Bianche,2018-04-12,,
,31091,44.90699413653974,8.688926418771416,,Spinnato Alessandro,Tamoil,2018-04-12,,
,6878,44.90949182294023,8.631437122821808,,Mazzoleni Federico,Agip Eni,2018-04-12,,
,6879,44.9208700712194,8.592845499515533,,Mazzoleni Federico,Agip Eni,2018-04-12,,
,7017,44.9208700712194,8.592845499515533,,Mazzoleni Federico,Pompe Bianche,2018-04-12,,
,15622,44.90916611966228,8.63291489603614,,New Petrol S.N.C. Di Pace Luigi E Sciommarello Salvatore,Esso,2018-04-12,,
,35850,44.87818923976168,8.570030119238481,,Pisarra Ottavio,Europam,2018-04-12,,
,36098,44.90292650046917,8.6059059174288,,Pisarra Ottavio,Europam,2018-04-12,,
,10587,44.91049176464411,8.628135323524475,,Quinto Cabella Di Massimo E Sergio Cabella - S.N.C.,Agip Eni,2018-04-12,,
,34881,44.90704014451652,8.641282171010971,,Inzirillo Salvatore Roberto,Esso,2018-04-12,,
,10209,44.93263457006159,8.625420928001404,,Carugia & Oddino E C. S.N.C. Di Carugia Maurizio,Api-Ip,2018-04-12,,
,25683,44.91015310106215,8.625545285301087,,Malfatto Maurizio,Api-Ip,2018-04-12,,
,7101,44.926826114247305,8.58604609966278,,Le 2 Vele Di Nappo Maria,Q8,2018-04-12,,
,35034,44.89613493072377,8.666315227746964,,Pastore Bruna,Agip Eni,2018-04-12,,
,27276,44.90907756035294,8.63601985515595,,B+B Di Bonaldo Giancarlo E C. S.A.S.,Agip Eni,2018-04-12,,
,29129,44.90359629631582,8.649230897426605,,R&C Di Frontino Nunzio,Esso,2018-04-12,,
,36526,44.889647247273075,8.687465116381645,,New Truck S.R.L.,Keropetrol,2018-04-12,,
,39241,44.901887213841604,8.619216307997704,,Stazione Andromeda Di Vivian Luciano & C. - S.N.C.,Agip Eni,2018-04-12,,
,22975,44.91939743419402,8.61233416718187,,An.Gi Di Antonio Lecce S.A.S.,Api-Ip,2018-04-12,,
,27453,44.9321969901607,8.58518036837404,,New Energy Di Rrushi Ermira E C. S.N.C.,Agip Eni,2018-04-12,,
,10739,44.90748551782488,8.618476700794531,,Al. Be. Di Costa Alessandro E C. S.N.C.,Agip Eni,2018-04-12,,
,40820,44.91795886428148,8.700276017189026,,Stoil S.R.L.,Pompe Bianche,2018-04-12,,
,38699,44.967125312032906,8.610474988818169,,Toscano Enrico,Tamoil,2018-04-12,,
,40629,44.88660105373309,8.614827543497086,,Cipriano Roberto,Total Erg,2018-04-12,,
,38685,44.93864445373909,8.624820113182068,,Valfuel S.N.C. Di Timpanaro Cristian E Russo Paolo Giuseppe,Total Erg,2018-04-12,,
,14428,44.691433354864266,8.883282414155588,,Elta Alberto,Agip Eni,2018-04-12,,
,38708,44.698675984856024,8.88466410469971,,Cavanna Roberto,Total Erg,2018-04-12,,
,38637,44.685461936099436,8.890202489618673,,Valenza Omar,Q8,2018-04-12,,
,3766,44.67030052477258,8.906022623348235,,Giemme Sas Di Lanza Luigi & C,Total Erg,2018-04-12,,
,40176,44.7695329866245,8.703953996300697,,Pisarra Ottavio,Europam,2018-04-12,,
,40641,44.7691119616782,8.714392483234406,,Fasciolo Simonetta Maria,Pompe Bianche,2018-04-12,,
,7298,44.627936919488285,8.652409315109253,,Servizi & Gestioni Italia S.R.L.,Q8,2018-04-12,,
,3535,44.59236962570605,8.666142225265503,,Vignolo E Garbarino S.N.C.,Total Erg,2018-04-12,,
,38882,44.591592228742755,8.664512783288956,,Tiger S.R.L.,Esso,2018-04-12,,
,25114,44.658628689652076,8.375192247004634,,Beccaria S.R.L. - Societa' A Responsabilita' Limitata,Q8,2018-04-12,,
