{,id,lat,lon,tags{,operator,brand,description,addr:postcode,addr:city,source:date,},}
,4763,45.89403633217016,12.695828138892807,,Carrozzeria Azzanese-Societa' In Nome Collettivo Di Maggiolo E C,Total Erg,Statale 251 Della Val Di Zoldo E Val Cellina  Km. 18+531  Dir. Pordenone 33082,33082,Azzano Decimo,2018-04-09,,
,34231,45.884777550857905,12.709741964936256,,San Marco Petroli Distribuzione S.R.L.,San Marco Petroli,Via Pezzut 15 33082,33082,Azzano Decimo,2018-04-09,,
,7329,46.191280793872394,12.563879344889074,,Som S.P.A.,Api-Ip,Via Vittorio Veneto 37 33080,33080,Barcis,2018-04-09,,
,13195,45.8880652727547,12.553662014385963,,Bertolo S.A.S. Di Bertolo Nello & C.,Api-Ip,Strada Provinciale 75 S.N.   33070  33070,33070,Brugnera,2018-04-09,,
,32589,45.94083230285921,12.560551464557648,,Duino Nord S.A.S Di Sacilotto Laura & C.,Kerotris,Autostrada A28 Portogruaro-Conegliano  Km. 29+400  Dir. Sud 33070,33070,Brugnera,2018-04-09,,
,22355,45.894151269179346,12.556470809262123,,Servizi & Gestioni Italia S.R.L.,Q8,Via I.Santarossa - Loc.Maron 2 33070,33070,Brugnera,2018-04-09,,
,21064,45.90921767722439,12.54326730966568,,Hoxha Bledar,Agip Eni,Via Ungaresca  Hoxha Bledar 30 33070,33070,Brugnera,2018-04-09,,
,17950,45.92641549029122,12.552385554381317,,Prealpi S.R.L.,Pompe Bianche,Via Casut Di Tamai 28/A 33070,33070,Brugnera,2018-04-09,,
,8688,46.04047917452594,12.541943930426214,,Ema.Tom Di Quaia Elio E C. S.A.S.,Agip Eni,Via Giuseppe Verdi 9 33070,33070,Budoia,2018-04-09,,
,13485,45.9637690466774,12.433911599999988,,Santin Aldo,Pompe Bianche,Via Vittorio Veneto 18 33070,33070,Caneva,2018-04-09,,
,5023,45.975047437204815,12.485974888695523,,Termoveneta S.R.L.,Termoveneta Srl,Via Sacile 45 33070,33070,Caneva,2018-04-09,,
,37189,45.956181711455685,12.836949405453083,,De Caro Francesco,Esso,Viale Venezia 25 33072,33072,Casarsa Della Delizia,2018-04-09,,
