ref:mise;fuel:cng;source:date;price
4775;yes;11/01/2019 08:14:59;0.999
4792;yes;28/01/2019 09:39:06;0.969
4805;yes;28/01/2019 08:44:28;0.970
4806;yes;28/01/2019 08:44:11;0.970
4809;yes;29/01/2019 15:35:26;0.970
4815;yes;31/01/2019 08:24:22;1.157
4822;yes;01/02/2019 18:18:54;0.968
4825;yes;01/02/2019 09:22:01;0.929
4827;yes;01/02/2019 18:18:20;0.968
4830;yes;29/01/2019 18:37:07;0.950
4838;yes;01/02/2019 08:28:17;0.959
4839;yes;31/01/2019 16:20:28;0.959
4846;yes;01/02/2019 09:22:41;0.929
4860;yes;01/02/2019 08:25:04;0.969
4861;yes;01/02/2019 08:25:49;0.928
4862;yes;01/02/2019 08:26:47;0.928
4863;yes;02/02/2019 06:55:55;0.889
4882;yes;28/01/2019 10:45:53;1.049
4902;yes;02/02/2019 12:28:05;1.035
4905;yes;02/02/2019 11:44:32;1.004
4906;yes;01/02/2019 07:14:35;1.035
4918;yes;31/01/2019 20:12:41;0.940
4932;yes;01/02/2019 18:50:27;0.999
4948;yes;28/01/2019 09:45:34;0.965
4950;yes;29/01/2019 15:27:20;0.890
4954;yes;01/02/2019 09:19:08;0.949
4958;yes;31/01/2019 12:28:22;1.036
4959;yes;31/01/2019 12:32:18;1.036
4961;yes;18/01/2019 20:58:42;0.968
4973;yes;02/02/2019 07:17:41;0.989
4981;yes;31/01/2019 08:48:19;0.878
4984;yes;30/01/2019 22:09:17;0.998
4990;yes;28/01/2019 08:20:49;0.990
4995;yes;01/02/2019 14:28:48;1.049
5006;yes;30/01/2019 09:00:05;0.939
5011;yes;30/01/2019 17:34:12;0.998
5021;yes;01/02/2019 07:30:06;0.988
5032;yes;01/02/2019 17:39:13;1.074
5033;yes;01/02/2019 17:37:23;1.074
5034;yes;01/02/2019 15:37:16;1.018
5046;yes;02/02/2019 07:26:39;0.979
5062;yes;28/01/2019 17:59:14;0.998
5063;yes;01/02/2019 18:55:51;0.887
5064;yes;31/01/2019 18:03:02;0.879
5065;yes;28/01/2019 08:59:23;0.999
5067;yes;01/02/2019 18:55:51;1.028
5068;yes;28/01/2019 18:00:24;0.998
5119;yes;31/01/2019 20:09:34;1.090
5125;yes;29/01/2019 09:59:50;1.109
5153;yes;01/02/2019 10:37:26;0.949
