39344;FARELLO MARCO;Esso;45.14413;8.44662
33907;EUROPAM S.P.A.;Europam;45.14114;8.45064
4973;RAVAZZOTTO SANDRA;Pompe Bianche;45.11382;8.44395
10959;PALMERI PIETRO;Api-Ip;45.13342;8.44806
28556;LA TORTONESE DI GRAZIOLI CARLO E C. S.N.C.;Pompe Bianche;45.15369;8.44868
31488;REPSOL ITALIA S.P.A.;Repsol;45.11976;8.49221
17871;ALIRES DI ALINERI OSCAR;Esso;45.15847;8.42659
37136;MENEGHETTI ALESSANDRO;Tamoil;45.12426;8.44554
10985;RABAGLIATI GIANNI;Total Erg;45.14562;8.44577
12387;DEMARIA IVO;Total Erg;45.13120;8.47198
12662;BRUGGI SERGIO;Q8;44.91585;8.98234
39596;AH.IB DI AHMED IBRAHIM HASSAN;Pompe Bianche;44.76483;8.86146
38739;F.LLI AIACHINI DI SIMONE E CARLO AIACHINI S.N.C.;KEROPETROL;44.77764;8.53727
6897;TOSELLI PIERANGELO;Agip Eni;44.75224;8.52859
31339;NUOVA SIDAP  S.R.L.;Esso;44.81959;8.59493
3622;A.D.S. BORMIDA OVEST DI MAX STEFANO;Total Erg;44.81716;8.59392
17274;F.LLI AIACHINI DI SIMONE E CARLO AIACHINI S.N.C.;KEROPETROL;44.84855;8.57422
13220;T.A.M. PETROL DI MOLINA GIUSEPPE E GIANLUCA S.A.S;Tamoil;44.85094;8.61301
40043;TACCHINO RITA;Esso;44.68946;8.69620
34482;MAZZOLENI FEDERICO;Agip Eni;44.97819;8.56963
3595;3 T S.N.C. DI TARTAGLIONE SABATINO E C.;Tamoil;44.93426;8.85341
3606;SILLA FABIO E C. - S.N.C.;Agip Eni;44.93391;8.85219
9938;TROVAMALA EZIO;Agip Eni;44.97875;8.88832
41395;TC OIL DI TORIELLI DANIELE S.N.C.;Pompe Bianche;44.96857;8.87896
42407;BIDONE BARBARA;Total Erg;44.97794;8.89339
31301;"KEROTRIS - SOCIETA' A RESPONSABILITA' LIMITATA";Kerotris;44.63197;8.61574
33913;EUROPAM S.P.A.;Europam;44.78615;9.14642
38630;FULL ENERGY S.A.S. DI COSTA ROSALIA E C.;Agip Eni;44.90091;8.43256
32629;"IP SERVICES S.R.L.";Api-Ip;44.83845;8.68150
10321;FRACCHIA GIOVANNI;Agip Eni;44.96505;8.42842
20380;GARIMANNO FRANCESCO;Tamoil;45.15922;8.17576
11450;BENASSI ROBERTO;Agip Eni;44.69047;8.81959
8875;BENZO MAURIZIO;Api-Ip;44.63587;8.71457
10825;RICCOBONO ALESSIA;Agip Eni;45.11912;8.24623
16764;MELIA GIUSEPPE;Tamoil;45.11634;8.26109
41572;TC OIL DI TORIELLI DANIELE S.N.C.;Europam;44.88841;8.97809
30694;LAVAGNA BENITO;Q8;44.59836;8.35303
4956;SO.GE.DI DI RATTI FRANCESCO & C. S.A.S.;Ratti;44.83789;8.95292
20605;LUGANO DANIELE;Total Erg;44.85599;9.00521
42151;KEROTRIS S.P.A.;Kerotris;45.16319;8.40355
16334;GAMARINO S.A.S. DI GAMARINO SERGIO ACHILLE E C.;Tamoil;45.08800;8.12935
30770;T.D.M. S.R.L.;Tamoil;44.77577;8.78979
19450;TRAVERSO ANDREA;Pompe Bianche;44.76703;8.81339
3877;TOTALERG S.P.A.;Total Erg;44.76098;8.83841
3879;TOTALERG S.P.A.;Total Erg;44.76012;8.83711
40749;MAX SERVICE DI MAX STEFANO & C. S.N.C.;Agip Eni;44.76678;8.76793
41183;STAZIONE DI SERVIZIO AGIP N. 11415 DI CARANO ENRICO;Agip Eni;44.75612;8.79825
