ref:mise,fuel:lpg,fuel:cng,operator,brand,lat,lon
14213,,,Zamolo S.A.S. di Zamolo Giulio & C.,Agip Eni,46.28714,13.12228
3569,yes,,Buldo Orlando,Agip Eni,45.88242,13.25844
39804,yes,,Sarni S.R.L.,Sarni Oil,45.88171,13.25936
37901,,,Rub Nawaz Ahmed,Api-Ip,45.89166,13.25145
5239,yes,,San Marco Petroli Distribuzione S.R.L.,San Marco Petroli,45.90463,13.24639
28866,,,Ghiraldo Monia,Agip Eni,45.902,13.25775
4356,yes,,Jetrent S.R.L.,Api-Ip,45.78863,13.01325
22629,yes,,Desmo Immobiliare S.R.L.,,45.75968,13.02996
22869,,,Pighin Attilio,Esso,45.77165,12.99782
16864,yes,,Vigolo Maurizio,,45.71787,13.0499
15502,,,Aprilia Marittima 2000 S.p.A.,Api-Ip,45.69604,13.06873
33342,,,Scer S.N.C. di Beccaro Bellino & C.,Api-Ip,45.72216,13.04854
6502,,,Servizi & Gestioni Italia S.R.L.,Q8,45.77138,13.02355
39170,,,Servizi Innovativi Nord Est S.R.L.,Agip Eni,45.77405,13.00258
29406,,,Som S.p.A.,Total Erg,45.77285,12.99726
19489,yes,,Eredi Cinello Renato S.A.S. di Cinello Franco & C.,Api-Ip,45.96978,13.11401
41204,yes,,Oberai Kapil,Api-Ip,45.96978,13.11401
38395,,,A.F. Petroli S.p.A.,AF Petroli,45.69728,13.14279
37581,,,Distributore Agip di Cardillo Vincenzo,Agip Eni,45.68994,13.1397
16450,,,Torresan Massimo,Agip Eni,45.67385,13.08861
36240,,,Galasso Giorgio,Esso,45.68944,13.13295
38031,,,Galizio Giorgio & C. S.N.C. di Capelli Joel e Versolatto Simone,Esso,45.67171,13.09107
11908,,,Servizi & Gestioni Italia S.R.L.,Q8,45.66928,13.09435
41120,,,Zamarian Mario S.A.S. di Zamarian Mario & C.,Total Erg,45.68357,13.11958
31170,,,Ip Services S.R.L.,Api-Ip,46.18584,13.05916
27141,,,Franzin Marco,Agip Eni,46.18508,13.0625
39142,,,P&c Società a Responsabilità Limitata Semplificata,Total Erg,46.17375,13.06681
15693,,,Venier S.N.C. di Venier Sonia & C.,,46.17919,13.04376
39865,,,Sabotha Bruna,Agip Eni,46.50633,13.43264
36400,,,Nuova Sidap S.R.L.,Esso,46.49868,13.37668
8191,,,Censani Rag. Fabrizio e C. S.N.C.,Agip Eni,45.99055,13.36521
21007,,,Autofficina di Chiappo Fausto,Agip Eni,46.01463,13.38813
10977,,,Maurizio Mauri,Total Erg,45.98871,13.37605
5238,,,San Marco Petroli Distribuzione S.R.L.,San Marco Petroli,45.98894,13.39731
34264,,,A.F. Petroli S.p.A.,AF Petroli,45.76007,13.16565
26817,,,C.M. di Formentin Italo & C. S.N.C.,Agip Eni,45.76641,13.16788
28686,,,Emmevu di Pierro Vincenzo,Agip Eni,46.08377,13.18069
42442,,,Iper Montebello S.p.A.,,46.08381,13.18069
36498,,,Kaur Amandeep,Api-Ip,46.08247,13.17372
7267,yes,,Servizi & Gestioni Italia S.R.L.,Q8,46.08977,13.14483
30719,yes,,Singh Kulvir,Api-Ip,46.10074,13.17282
22114,,,Som S.p.A.,Api-Ip,46.05199,13.05004
38527,,,Sarni S.R.L.,Sarni Oil,46.39845,13.16726
38644,,,Bergamasco Michele,Total Erg,46.08598,13.36284
14665,yes,,Bidoli Devis,Agip Eni,45.96487,13.19233
31152,,,Gattesco f.lli di Gattesco Ferruccio e Fiorenzo S.N.C.,Esso,45.94455,13.1771
16952,,,Pascut Gabriele,Total Erg,45.94192,13.16793
24015,,,Schiff Massimo,,45.93578,13.1754
35710,yes,,Coppino Mattia,Repsol,45.93207,13.14648
16077,,,Migueletto Raul Guillermo,Api-Ip,46.20066,13.26425
16630,,,Meneghin Federico e C. S.N.C.,Agip Eni,46.19487,13.25692
36921,,,Be.Oil di Fabbro Edoardo & C. S.A.S.,Esso,46.23586,13.07517
10473,,,Cimenti Severino,Total Erg,46.48727,12.86481
39053,,,San Marco Petroli Distribuzione S.R.L.,San Marco Petroli,46.47888,12.86772
40554,yes,,Quaglia Cristina,Agip Eni,46.09296,13.19188
37002,,,Tiemme Service S.A.S. di Tribos Daniele Sebastiano & C.,Tamoil,46.1221,13.18874
22031,,,Movio Fiorenzo,Api-Ip,45.80533,13.08601
28891,yes,,Zu.Pe. S.N.C. di Zuliani Maurizio & C.,Q8,45.80785,13.09443
20014,,,Zanello Giulio,Agip Eni,45.89518,13.30928
14695,,,Moro Miria,Tamoil,46.51105,13.00216
29762,,,I.S. Industria Servizi S.A.S. di Azzalini Mario,Oil Italia,46.5266,13.0127
11907,,,Servizi & Gestioni Italia S.R.L.,Q8,46.04336,13.19258
33531,,,Rodaro Enzo & C. S.N.C.,Agip Eni,46.0461,13.19622
10570,,,Matiz Alberto,Api-Ip,46.52735,13.11934
38130,,,Auto Metano Udine di Rosso Cristian & C. S.A.S.,Agip Eni,45.97465,13.32344
25828,,,Ip Services S.R.L.,Api-Ip,46.00015,13.27405
25885,yes,,Zanini Milvia,Agip Eni,45.84145,13.09714
16933,,,Agnola Mario,Total Erg,46.50073,13.30168
23802,,,Stazione di Servizio di Tavaris Stefano,Api-Ip,45.84789,13.21277
30162,,,Pecile Luigino,Agip Eni,46.15385,13.29136
30690,yes,,Duegi S.A.S. di Gattesco Luca e C.,Q8,46.09685,13.28871
17626,,,Moschione Loris,Agip Eni,46.00922,13.2534
36989,,,Gestioni Europa - Società Per Azioni,Total Erg,45.97698,13.19835
17483,,,Piccini Leonardo,Api-Ip,46.00154,13.20678
40344,,,Sarni S.R.L.,Sarni Oil,46.01573,13.21906
40343,,,Sarni S.R.L.,Sarni Oil,46.01475,13.21841
30322,,,Policella Daniele,Agip Eni,46.03311,13.30162
35273,yes,,Auto Metano Udine di Rosso Cristian & C. S.A.S.,Agip Eni,46.0295,13.28414
7293,yes,,Servizi & Gestioni Italia S.R.L.,Q8,46.02313,13.27249
7268,yes,,Servizi & Gestioni Italia S.R.L.,Q8,45.79413,13.03148
19170,,,Full Service di Margutti Edi e Casella Lucia S.N.C.,Api-Ip,46.05865,13.38282
39018,yes,,Ghulam Kharian di Ahmed Waqas S.A.S.,Api-Ip,46.13657,13.22229
7433,,,Fioritto Luciano,Api-Ip,46.16337,13.25634
8854,,,Polli Cristian,Agip Eni,46.13977,13.22169
