ref:mise,fuel:lpg,fuel:cng,operator,brand,lat,lon
10836,yes,yes,Zannoni S.R.L.,Zannoni,44.16491,12.07459
37326,yes,,Zannoni S.R.L.,Agip Eni,44.22819,12.02998
39769,yes,,Zannoni S.R.L.,Agip Eni,44.24466,12.0766
4581,yes,,Robgas Commerciale S.R.L.,,44.25983,12.0998
14180,,yes,Metanauto La Rocca di Rovinelli Giorgio e Calboli Paolo S.N.C.,Zannoni,44.19739,12.10304
5297,yes,,Leoni S.N.C. di Leoni Demis e Rudy,Total Erg,44.17617,12.15191
4252,,yes,Metanopoli di Gridelli Quinto e Faenza Giancarlo S.N.C. .,Agip Eni,44.11444,12.35416
4307,yes,,Celli Giuliano S.R.L.,Gep carburanti,44.13351,12.38936
30915,yes,yes,Celli Giuliano S.R.L.,Gep carburanti,44.1502,12.40292
10069,yes,,Maestri S.p.A.,Q8,44.11166,12.38762
26403,yes,,S.C.E.L.F. S.R.L.,Api-Ip,43.95056,12.19066
4308,yes,,Celli Giuliano S.R.L.,Gep carburanti,44.11096,12.43141
23920,yes,,F.Lli Bresciani di Bresciani Francesco e C. - S.N.C.,,43.95616,11.91159
3893,yes,,Rubicone Petroli S.N.C. di Balasso Claudio e Co.,Api-Ip,44.1169,12.4084
3679,yes,yes,Rubicone Ovest S.N.C.,Q8,44.11621,12.40852
9127,yes,yes,Calisesi & Biondi S.R.L.,Tamoil,44.09169,12.37535
29710,yes,,Santi O De Santi S.N.C. di Fiorenzo e Mirco,Agip Eni,43.76482,12.03671
5054,yes,,Animobono M. e Montanari A. S.N.C.,,44.60207,11.84359
37112,yes,,Argenta Carburanti di Calderoni Gianfranco & C. - S.A.S.,,44.60833,11.83968
36602,,yes,Cervi Nicolas,,44.57418,12.1008
10376,,yes,Ditta Rinaldi Bruno di Rinaldi Maurizio,,44.64967,11.78595
35312,yes,,Guerra Giuseppe,Total Erg,44.66235,11.64356
29266,yes,,Curina Alessio,Agip Eni,44.96899,11.96107
14803,yes,yes,Zerbinati Massimo & C. S.A.S.,,44.90043,11.40474
4580,yes,,Robgas Commerciale S.R.L.,,44.87686,11.43412
11377,yes,yes,Bertelli Walter e Rolando - Carburanti - S.p.A.,Bertelli Carburanti,44.73689,11.26549
22537,yes,yes,Reno Gas Energy S.R.L.,,44.72417,11.2595
17193,yes,yes,Carburanti Vecchietti S.R.L.,,44.75253,11.30113
38506,yes,yes,Reno Gas Energy S.R.L.,,44.74488,11.29743
17192,yes,yes,Carburanti Vecchietti S.R.L.,,44.75182,11.30261
7158,yes,,Girotti Carburanti S.R.L.,Tamoil,44.71926,11.28562
7160,yes,,Girotti Carburanti S.R.L.,Tamoil,44.74611,11.2897
4573,yes,,Crepaldi Enrico & C. S.N.C.,Agip Eni,44.89902,12.10307
5163,yes,yes,Service Car Center dei f.lli Tarroni di Andrea Ed Enrico Tarroni & C. S.N.C.,Q8,44.82422,12.1771
40034,,yes,Ristic Krstinka,,44.84378,12.10688
34995,yes,,Gi.Effe.A. di Astolfi Franca e C. S.N.C.,Api-Ip,44.84266,12.1758
